,LPPF IJ Equity
2013-04-08,21.5407
2013-04-09,21.5407
2013-04-10,21.5407
2013-04-11,21.5407
2013-04-12,21.5407
2013-04-13,21.5407
2013-04-14,21.5407
2013-04-15,21.5407
2013-04-16,21.5407
2013-04-17,21.5407
2013-04-18,21.5407
2013-04-19,21.5407
2013-04-20,21.5407
2013-04-21,21.5407
2013-04-22,21.5407
2013-04-23,21.5407
2013-04-24,21.5407
2013-04-25,21.5407
2013-04-26,21.5407
2013-04-27,21.5407
2013-04-28,21.5407
2013-04-29,21.5407
2013-04-30,21.5407
2013-05-01,21.5407
2013-05-02,21.5407
2013-05-03,21.5407
2013-05-04,21.5407
2013-05-05,21.5407
2013-05-06,21.5407
2013-05-07,21.5407
2013-05-08,21.5407
2013-05-09,21.5407
2013-05-10,21.5407
2013-05-11,21.5407
2013-05-12,21.5407
2013-05-13,21.5407
2013-05-14,21.5407
2013-05-15,21.5407
2013-05-16,21.5407
2013-05-17,21.5407
2013-05-18,21.5407
2013-05-19,21.5407
2013-05-20,21.5407
2013-05-21,21.5407
2013-05-22,21.5407
2013-05-23,21.5407
2013-05-24,21.5407
2013-05-25,21.5407
2013-05-26,21.5407
2013-05-27,21.5407
2013-05-28,21.5407
2013-05-29,21.5407
2013-05-30,21.5407
2013-05-31,21.5407
2013-06-01,21.5407
2013-06-02,21.5407
2013-06-03,21.5407
2013-06-04,21.5407
2013-06-05,21.5407
2013-06-06,21.5407
2013-06-07,21.5407
2013-06-08,21.5407
2013-06-09,21.5407
2013-06-10,21.5407
2013-06-11,21.5407
2013-06-12,21.5407
2013-06-13,21.5407
2013-06-14,21.5407
2013-06-15,21.5407
2013-06-16,21.5407
2013-06-17,21.5407
2013-06-18,21.5407
2013-06-19,21.5407
2013-06-20,21.5407
2013-06-21,21.5407
2013-06-22,21.5407
2013-06-23,21.5407
2013-06-24,21.5407
2013-06-25,21.5407
2013-06-26,21.5407
2013-06-27,21.5407
2013-06-28,21.5407
2013-06-29,21.5407
2013-06-30,21.5407
2013-07-01,21.5407
2013-07-02,21.5407
2013-07-03,21.5407
2013-07-04,21.5407
2013-07-05,21.5407
2013-07-06,21.5407
2013-07-07,21.5407
2013-07-08,21.5407
2013-07-09,21.5407
2013-07-10,21.5407
2013-07-11,21.5407
2013-07-12,21.5407
2013-07-13,21.5407
2013-07-14,21.5407
2013-07-15,21.5407
2013-07-16,21.5407
2013-07-17,21.5407
2013-07-18,21.5407
2013-07-19,21.5407
2013-07-20,21.5407
2013-07-21,21.5407
2013-07-22,21.5407
2013-07-23,21.5407
2013-07-24,21.5407
2013-07-25,21.5407
2013-07-26,21.5407
2013-07-27,21.5407
2013-07-28,21.5407
2013-07-29,21.5407
2013-07-30,21.5407
2013-07-31,21.5407
2013-08-01,21.5407
2013-08-02,21.5407
2013-08-03,21.5407
2013-08-04,21.5407
2013-08-05,21.5407
2013-08-06,21.5407
2013-08-07,21.5407
2013-08-08,21.5407
2013-08-09,21.5407
2013-08-10,21.5407
2013-08-11,21.5407
2013-08-12,21.5407
2013-08-13,21.5407
2013-08-14,21.5407
2013-08-15,21.5407
2013-08-16,21.5407
2013-08-17,21.5407
2013-08-18,21.5407
2013-08-19,21.5407
2013-08-20,21.5407
2013-08-21,21.5407
2013-08-22,21.5407
2013-08-23,21.5407
2013-08-24,21.5407
2013-08-25,21.5407
2013-08-26,21.5407
2013-08-27,21.5407
2013-08-28,21.5407
2013-08-29,21.5407
2013-08-30,21.5407
2013-08-31,21.5407
2013-09-01,21.5407
2013-09-02,21.5407
2013-09-03,21.5407
2013-09-04,21.5407
2013-09-05,21.5407
2013-09-06,21.5407
2013-09-07,21.5407
2013-09-08,21.5407
2013-09-09,21.5407
2013-09-10,21.5407
2013-09-11,21.5407
2013-09-12,21.5407
2013-09-13,21.5407
2013-09-14,21.5407
2013-09-15,21.5407
2013-09-16,21.5407
2013-09-17,21.5407
2013-09-18,21.5407
2013-09-19,21.5407
2013-09-20,21.5407
2013-09-21,21.5407
2013-09-22,21.5407
2013-09-23,21.5407
2013-09-24,21.5407
2013-09-25,21.5407
2013-09-26,21.5407
2013-09-27,21.5407
2013-09-28,21.5407
2013-09-29,21.5407
2013-09-30,21.5407
2013-10-01,21.5407
2013-10-02,21.5407
2013-10-03,21.5407
2013-10-04,21.5407
2013-10-05,21.5407
2013-10-06,21.5407
2013-10-07,21.5407
2013-10-08,21.5407
2013-10-09,21.5407
2013-10-10,21.5407
2013-10-11,21.5407
2013-10-12,21.5407
2013-10-13,21.5407
2013-10-14,21.5407
2013-10-15,21.5407
2013-10-16,21.5407
2013-10-17,21.5407
2013-10-18,21.5407
2013-10-19,21.5407
2013-10-20,21.5407
2013-10-21,21.5407
2013-10-22,21.5407
2013-10-23,21.5407
2013-10-24,21.5407
2013-10-25,21.5407
2013-10-26,21.5407
2013-10-27,21.5407
2013-10-28,21.5407
2013-10-29,21.5407
2013-10-30,21.5407
2013-10-31,21.5407
2013-11-01,21.5407
2013-11-02,21.5407
2013-11-03,21.5407
2013-11-04,21.5407
2013-11-05,21.5407
2013-11-06,21.5407
2013-11-07,21.5407
2013-11-08,21.5407
2013-11-09,21.5407
2013-11-10,21.5407
2013-11-11,21.5407
2013-11-12,21.5407
2013-11-13,21.5407
2013-11-14,21.5407
2013-11-15,21.5407
2013-11-16,21.5407
2013-11-17,21.5407
2013-11-18,21.5407
2013-11-19,21.5407
2013-11-20,21.5407
2013-11-21,21.5407
2013-11-22,21.5407
2013-11-23,21.5407
2013-11-24,21.5407
2013-11-25,21.5407
2013-11-26,21.5407
2013-11-27,21.5407
2013-11-28,21.5407
2013-11-29,21.5407
2013-11-30,21.5407
2013-12-01,21.5407
2013-12-02,21.5407
2013-12-03,21.5407
2013-12-04,21.5407
2013-12-05,21.5407
2013-12-06,21.5407
2013-12-07,21.5407
2013-12-08,21.5407
2013-12-09,21.5407
2013-12-10,21.5407
2013-12-11,21.5407
2013-12-12,21.5407
2013-12-13,21.5407
2013-12-14,21.5407
2013-12-15,21.5407
2013-12-16,21.5407
2013-12-17,21.5407
2013-12-18,21.5407
2013-12-19,21.5407
2013-12-20,21.5407
2013-12-21,21.5407
2013-12-22,21.5407
2013-12-23,21.5407
2013-12-24,21.5407
2013-12-25,21.5407
2013-12-26,21.5407
2013-12-27,21.5407
2013-12-28,21.5407
2013-12-29,21.5407
2013-12-30,21.5407
2013-12-31,21.5407
2014-01-01,21.5407
2014-01-02,21.5407
2014-01-03,21.5407
2014-01-04,21.5407
2014-01-05,21.5407
2014-01-06,21.5407
2014-01-07,21.5407
2014-01-08,21.5407
2014-01-09,21.5407
2014-01-10,21.5407
2014-01-11,21.5407
2014-01-12,21.5407
2014-01-13,21.5407
2014-01-14,21.5407
2014-01-15,21.5407
2014-01-16,21.5407
2014-01-17,21.5407
2014-01-18,21.5407
2014-01-19,21.5407
2014-01-20,21.5407
2014-01-21,21.5407
2014-01-22,21.5407
2014-01-23,21.5407
2014-01-24,21.5407
2014-01-25,21.5407
2014-01-26,21.5407
2014-01-27,21.5407
2014-01-28,21.5407
2014-01-29,21.5407
2014-01-30,21.5407
2014-01-31,21.5407
2014-02-01,21.5407
2014-02-02,21.5407
2014-02-03,21.5407
2014-02-04,21.5407
2014-02-05,21.5407
2014-02-06,21.5407
2014-02-07,21.5407
2014-02-08,21.5407
2014-02-09,21.5407
2014-02-10,21.5407
2014-02-11,21.5407
2014-02-12,21.5407
2014-02-13,21.5407
2014-02-14,21.5407
2014-02-15,21.5407
2014-02-16,21.5407
2014-02-17,21.5407
2014-02-18,21.5407
2014-02-19,21.5407
2014-02-20,21.5407
2014-02-21,21.5407
2014-02-22,21.5407
2014-02-23,21.5407
2014-02-24,21.5407
2014-02-25,21.5407
2014-02-26,21.5407
2014-02-27,21.5407
2014-02-28,21.5407
2014-03-01,21.5407
2014-03-02,21.5407
2014-03-03,21.5407
2014-03-04,21.5407
2014-03-05,21.5407
2014-03-06,21.5407
2014-03-07,21.5407
2014-03-08,21.5407
2014-03-09,21.5407
2014-03-10,21.5407
2014-03-11,21.5407
2014-03-12,21.5407
2014-03-13,21.5407
2014-03-14,21.5407
2014-03-15,21.5407
2014-03-16,21.5407
2014-03-17,21.5407
2014-03-18,21.5407
2014-03-19,21.5407
2014-03-20,21.5407
2014-03-21,21.5407
2014-03-22,21.5407
2014-03-23,21.5407
2014-03-24,21.5407
2014-03-25,21.5407
2014-03-26,21.5407
2014-03-27,21.5407
2014-03-28,21.5407
2014-03-29,21.5407
2014-03-30,21.5407
2014-03-31,21.5407
2014-04-01,21.5407
2014-04-02,21.5407
2014-04-03,21.5407
2014-04-04,21.5407
2014-04-05,21.5407
2014-04-06,21.5407
2014-04-07,21.5407
2014-04-08,21.5407
2014-04-09,21.5407
2014-04-10,21.5407
2014-04-11,21.5407
2014-04-12,21.5407
2014-04-13,21.5407
2014-04-14,21.5407
2014-04-15,21.5407
2014-04-16,21.5407
2014-04-17,21.5407
2014-04-18,21.5407
2014-04-19,21.5407
2014-04-20,21.5407
2014-04-21,21.5407
2014-04-22,21.5407
2014-04-23,21.5407
2014-04-24,21.5407
2014-04-25,21.5407
2014-04-26,21.5407
2014-04-27,21.5407
2014-04-28,21.5407
2014-04-29,21.5407
2014-04-30,21.5407
2014-05-01,21.5407
2014-05-02,21.5407
2014-05-03,21.5407
2014-05-04,21.5407
2014-05-05,21.5407
2014-05-06,21.5407
2014-05-07,21.5407
2014-05-08,21.5407
2014-05-09,21.5407
2014-05-10,21.5407
2014-05-11,21.5407
2014-05-12,21.5407
2014-05-13,21.5407
2014-05-14,21.5407
2014-05-15,21.5407
2014-05-16,21.5407
2014-05-17,21.5407
2014-05-18,21.5407
2014-05-19,21.5407
2014-05-20,21.5407
2014-05-21,21.5407
2014-05-22,21.5407
2014-05-23,21.5407
2014-05-24,21.5407
2014-05-25,21.5407
2014-05-26,21.5407
2014-05-27,21.5407
2014-05-28,21.5407
2014-05-29,21.5407
2014-05-30,21.5407
2014-05-31,21.5407
2014-06-01,21.5407
2014-06-02,21.5407
2014-06-03,21.5407
2014-06-04,21.5407
2014-06-05,21.5407
2014-06-06,21.5407
2014-06-07,21.5407
2014-06-08,21.5407
2014-06-09,21.5407
2014-06-10,21.5407
2014-06-11,21.5407
2014-06-12,21.5407
2014-06-13,21.5407
2014-06-14,21.5407
2014-06-15,21.5407
2014-06-16,21.5407
2014-06-17,21.5407
2014-06-18,21.5407
2014-06-19,21.5407
2014-06-20,21.5407
2014-06-21,21.5407
2014-06-22,21.5407
2014-06-23,21.5407
2014-06-24,21.5407
2014-06-25,21.5407
2014-06-26,21.5407
2014-06-27,21.5407
2014-06-28,21.5407
2014-06-29,21.5407
2014-06-30,21.5407
2014-07-01,21.5407
2014-07-02,21.5407
2014-07-03,21.5407
2014-07-04,21.5407
2014-07-05,21.5407
2014-07-06,21.5407
2014-07-07,21.5407
2014-07-08,21.5407
2014-07-09,21.5407
2014-07-10,21.5407
2014-07-11,21.5407
2014-07-12,21.5407
2014-07-13,21.5407
2014-07-14,21.5407
2014-07-15,21.5407
2014-07-16,21.5407
2014-07-17,21.5407
2014-07-18,21.5407
2014-07-19,21.5407
2014-07-20,21.5407
2014-07-21,21.5407
2014-07-22,21.5407
2014-07-23,21.5407
2014-07-24,21.5407
2014-07-25,21.5407
2014-07-26,21.5407
2014-07-27,21.5407
2014-07-28,21.5407
2014-07-29,21.5407
2014-07-30,21.5407
2014-07-31,21.5407
2014-08-01,21.5407
2014-08-02,21.5407
2014-08-03,21.5407
2014-08-04,21.5407
2014-08-05,21.5407
2014-08-06,21.5407
2014-08-07,21.5407
2014-08-08,21.5407
2014-08-09,21.5407
2014-08-10,21.5407
2014-08-11,21.5407
2014-08-12,21.5407
2014-08-13,21.5407
2014-08-14,21.5407
2014-08-15,21.5407
2014-08-16,21.5407
2014-08-17,21.5407
2014-08-18,21.5407
2014-08-19,21.5407
2014-08-20,21.5407
2014-08-21,21.5407
2014-08-22,21.5407
2014-08-23,21.5407
2014-08-24,21.5407
2014-08-25,21.5407
2014-08-26,21.5407
2014-08-27,21.5407
2014-08-28,21.5407
2014-08-29,21.5407
2014-08-30,21.5407
2014-08-31,21.5407
2014-09-01,21.5407
2014-09-02,21.5407
2014-09-03,21.5407
2014-09-04,21.5407
2014-09-05,21.5407
2014-09-06,21.5407
2014-09-07,21.5407
2014-09-08,21.5407
2014-09-09,21.5407
2014-09-10,21.5407
2014-09-11,21.5407
2014-09-12,21.5407
2014-09-13,21.5407
2014-09-14,21.5407
2014-09-15,21.5407
2014-09-16,21.5407
2014-09-17,21.5407
2014-09-18,21.5407
2014-09-19,21.5407
2014-09-20,21.5407
2014-09-21,21.5407
2014-09-22,21.5407
2014-09-23,21.5407
2014-09-24,21.5407
2014-09-25,21.5407
2014-09-26,21.5407
2014-09-27,21.5407
2014-09-28,21.5407
2014-09-29,21.5407
2014-09-30,21.5407
2014-10-01,21.5407
2014-10-02,21.5407
2014-10-03,21.5407
2014-10-04,21.5407
2014-10-05,21.5407
2014-10-06,21.5407
2014-10-07,21.5407
2014-10-08,21.5407
2014-10-09,21.5407
2014-10-10,21.5407
2014-10-11,21.5407
2014-10-12,21.5407
2014-10-13,21.5407
2014-10-14,21.5407
2014-10-15,21.5407
2014-10-16,21.5407
2014-10-17,21.5407
2014-10-18,21.5407
2014-10-19,21.5407
2014-10-20,21.5407
2014-10-21,21.5407
2014-10-22,21.5407
2014-10-23,21.5407
2014-10-24,21.5407
2014-10-25,21.5407
2014-10-26,21.5407
2014-10-27,21.5407
2014-10-28,21.5407
2014-10-29,21.5407
2014-10-30,21.5407
2014-10-31,21.5407
2014-11-01,21.5407
2014-11-02,21.5407
2014-11-03,21.5407
2014-11-04,21.5407
2014-11-05,21.5407
2014-11-06,21.5407
2014-11-07,21.5407
2014-11-08,21.5407
2014-11-09,21.5407
2014-11-10,21.5407
2014-11-11,21.5407
2014-11-12,21.5407
2014-11-13,21.5407
2014-11-14,21.5407
2014-11-15,21.5407
2014-11-16,21.5407
2014-11-17,21.5407
2014-11-18,21.5407
2014-11-19,21.5407
2014-11-20,21.5407
2014-11-21,21.5407
2014-11-22,21.5407
2014-11-23,21.5407
2014-11-24,21.5407
2014-11-25,21.5407
2014-11-26,21.5407
2014-11-27,21.5407
2014-11-28,21.5407
2014-11-29,21.5407
2014-11-30,21.5407
2014-12-01,21.5407
2014-12-02,21.5407
2014-12-03,21.5407
2014-12-04,21.5407
2014-12-05,21.5407
2014-12-06,21.5407
2014-12-07,21.5407
2014-12-08,21.5407
2014-12-09,21.5407
2014-12-10,21.5407
2014-12-11,21.5407
2014-12-12,21.5407
2014-12-13,21.5407
2014-12-14,21.5407
2014-12-15,21.5407
2014-12-16,21.5407
2014-12-17,21.5407
2014-12-18,21.5407
2014-12-19,21.5407
2014-12-20,21.5407
2014-12-21,21.5407
2014-12-22,21.5407
2014-12-23,21.5407
2014-12-24,21.5407
2014-12-25,21.5407
2014-12-26,21.5407
2014-12-27,21.5407
2014-12-28,21.5407
2014-12-29,21.5407
2014-12-30,21.5407
2014-12-31,21.5407
2015-01-01,21.5407
2015-01-02,21.5407
2015-01-03,21.5407
2015-01-04,21.5407
2015-01-05,21.5407
2015-01-06,21.5407
2015-01-07,21.5407
2015-01-08,21.5407
2015-01-09,21.5407
2015-01-10,21.5407
2015-01-11,21.5407
2015-01-12,21.5407
2015-01-13,21.5407
2015-01-14,21.5407
2015-01-15,21.5407
2015-01-16,21.5407
2015-01-17,21.5407
2015-01-18,21.5407
2015-01-19,21.5407
2015-01-20,21.5407
2015-01-21,21.5407
2015-01-22,21.5407
2015-01-23,21.5407
2015-01-24,21.5407
2015-01-25,21.5407
2015-01-26,21.5407
2015-01-27,21.5407
2015-01-28,21.5407
2015-01-29,21.5407
2015-01-30,21.5407
2015-01-31,21.5407
2015-02-01,21.5407
2015-02-02,21.5407
2015-02-03,21.5407
2015-02-04,21.5407
2015-02-05,21.5407
2015-02-06,21.5407
2015-02-07,21.5407
2015-02-08,21.5407
2015-02-09,21.5407
2015-02-10,21.5407
2015-02-11,21.5407
2015-02-12,21.5407
2015-02-13,21.5407
2015-02-14,21.5407
2015-02-15,21.5407
2015-02-16,21.5407
2015-02-17,21.5407
2015-02-18,21.5407
2015-02-19,21.5407
2015-02-20,21.5407
2015-02-21,21.5407
2015-02-22,21.5407
2015-02-23,21.5407
2015-02-24,21.5407
2015-02-25,21.5407
2015-02-26,21.5407
2015-02-27,21.5407
2015-02-28,21.5407
2015-03-01,21.5407
2015-03-02,21.5407
2015-03-03,21.5407
2015-03-04,21.5407
2015-03-05,21.5407
2015-03-06,21.5407
2015-03-07,21.5407
2015-03-08,21.5407
2015-03-09,21.5407
2015-03-10,21.5407
2015-03-11,21.5407
2015-03-12,21.5407
2015-03-13,21.5407
2015-03-14,21.5407
2015-03-15,21.5407
2015-03-16,21.5407
2015-03-17,21.5407
2015-03-18,21.5407
2015-03-19,21.5407
2015-03-20,21.5407
2015-03-21,21.5407
2015-03-22,21.5407
2015-03-23,21.5407
2015-03-24,21.5407
2015-03-25,21.5407
2015-03-26,21.5407
2015-03-27,21.5407
2015-03-28,21.5407
2015-03-29,21.5407
2015-03-30,21.5407
2015-03-31,21.5407
2015-04-01,21.5407
2015-04-02,21.5407
2015-04-03,21.5407
2015-04-04,21.5407
2015-04-05,21.5407
2015-04-06,21.5407
2015-04-07,21.5407
2015-04-08,21.5407
2015-04-09,21.5407
2015-04-10,21.5407
2015-04-11,21.5407
2015-04-12,21.5407
2015-04-13,21.5407
2015-04-14,21.5407
2015-04-15,21.5407
2015-04-16,21.5407
2015-04-17,21.5407
2015-04-18,21.5407
2015-04-19,21.5407
2015-04-20,21.5407
2015-04-21,21.5407
2015-04-22,21.5407
2015-04-23,21.5407
2015-04-24,21.5407
2015-04-25,21.5407
2015-04-26,21.5407
2015-04-27,21.5407
2015-04-28,21.5407
2015-04-29,21.5407
2015-04-30,21.5407
2015-05-01,21.5407
2015-05-02,21.5407
2015-05-03,21.5407
2015-05-04,21.5407
2015-05-05,21.5407
2015-05-06,21.5407
2015-05-07,21.5407
2015-05-08,21.5407
2015-05-09,21.5407
2015-05-10,21.5407
2015-05-11,21.5407
2015-05-12,21.5407
2015-05-13,21.5407
2015-05-14,21.5407
2015-05-15,21.5407
2015-05-16,21.5407
2015-05-17,21.5407
2015-05-18,21.5407
2015-05-19,21.5407
2015-05-20,21.5407
2015-05-21,21.5407
2015-05-22,21.5407
2015-05-23,21.5407
2015-05-24,21.5407
2015-05-25,21.5407
2015-05-26,21.5407
2015-05-27,21.5407
2015-05-28,21.5407
2015-05-29,21.5407
2015-05-30,21.5407
2015-05-31,21.5407
2015-06-01,21.5407
2015-06-02,21.5407
2015-06-03,21.5407
2015-06-04,21.5407
2015-06-05,21.5407
2015-06-06,21.5407
2015-06-07,21.5407
2015-06-08,21.5407
2015-06-09,21.5407
2015-06-10,21.5407
2015-06-11,21.5407
2015-06-12,21.5407
2015-06-13,21.5407
2015-06-14,21.5407
2015-06-15,21.5407
2015-06-16,21.5407
2015-06-17,21.5407
2015-06-18,21.5407
2015-06-19,21.5407
2015-06-20,21.5407
2015-06-21,21.5407
2015-06-22,21.5407
2015-06-23,21.5407
2015-06-24,21.5407
2015-06-25,21.5407
2015-06-26,21.5407
2015-06-27,21.5407
2015-06-28,21.5407
2015-06-29,21.5407
2015-06-30,21.5407
2015-07-01,21.5407
2015-07-02,21.5407
2015-07-03,21.5407
2015-07-04,21.5407
2015-07-05,21.5407
2015-07-06,21.5407
2015-07-07,21.5407
2015-07-08,21.5407
2015-07-09,21.5407
2015-07-10,21.5407
2015-07-11,21.5407
2015-07-12,21.5407
2015-07-13,21.5407
2015-07-14,21.5407
2015-07-15,21.5407
2015-07-16,21.5407
2015-07-17,21.5407
2015-07-18,21.5407
2015-07-19,21.5407
2015-07-20,21.5407
2015-07-21,21.5407
2015-07-22,21.5407
2015-07-23,21.5407
2015-07-24,21.5407
2015-07-25,21.5407
2015-07-26,21.5407
2015-07-27,21.5407
2015-07-28,21.5407
2015-07-29,21.5407
2015-07-30,21.5407
2015-07-31,21.5407
2015-08-01,21.5407
2015-08-02,21.5407
2015-08-03,21.5407
2015-08-04,21.5407
2015-08-05,21.5407
2015-08-06,21.5407
2015-08-07,21.5407
2015-08-08,21.5407
2015-08-09,21.5407
2015-08-10,21.5407
2015-08-11,21.5407
2015-08-12,21.5407
2015-08-13,21.5407
2015-08-14,21.5407
2015-08-15,21.5407
2015-08-16,21.5407
2015-08-17,21.5407
2015-08-18,21.5407
2015-08-19,21.5407
2015-08-20,21.5407
2015-08-21,21.5407
2015-08-22,21.5407
2015-08-23,21.5407
2015-08-24,21.5407
2015-08-25,21.5407
2015-08-26,21.5407
2015-08-27,21.5407
2015-08-28,21.5407
2015-08-29,21.5407
2015-08-30,21.5407
2015-08-31,21.5407
2015-09-01,21.5407
2015-09-02,21.5407
2015-09-03,21.5407
2015-09-04,21.5407
2015-09-05,21.5407
2015-09-06,21.5407
2015-09-07,21.5407
2015-09-08,21.5407
2015-09-09,21.5407
2015-09-10,21.5407
2015-09-11,21.5407
2015-09-12,21.5407
2015-09-13,21.5407
2015-09-14,21.5407
2015-09-15,21.5407
2015-09-16,21.5407
2015-09-17,21.5407
2015-09-18,21.5407
2015-09-19,21.5407
2015-09-20,21.5407
2015-09-21,21.5407
2015-09-22,21.5407
2015-09-23,21.5407
2015-09-24,21.5407
2015-09-25,21.5407
2015-09-26,21.5407
2015-09-27,21.5407
2015-09-28,21.5407
2015-09-29,21.5407
2015-09-30,21.5407
2015-10-01,21.5407
2015-10-02,21.5407
2015-10-03,21.5407
2015-10-04,21.5407
2015-10-05,21.5407
2015-10-06,21.5407
2015-10-07,21.5407
2015-10-08,21.5407
2015-10-09,21.5407
2015-10-10,21.5407
2015-10-11,21.5407
2015-10-12,21.5407
2015-10-13,21.5407
2015-10-14,21.5407
2015-10-15,21.5407
2015-10-16,21.5407
2015-10-17,21.5407
2015-10-18,21.5407
2015-10-19,21.5407
2015-10-20,21.5407
2015-10-21,21.5407
2015-10-22,21.5407
2015-10-23,21.5407
2015-10-24,21.5407
2015-10-25,21.5407
2015-10-26,21.5407
2015-10-27,21.5407
2015-10-28,21.5407
2015-10-29,21.5407
2015-10-30,21.5407
2015-10-31,21.5407
2015-11-01,21.5407
2015-11-02,21.5407
2015-11-03,21.5407
2015-11-04,21.5407
2015-11-05,21.5407
2015-11-06,21.5407
2015-11-07,21.5407
2015-11-08,21.5407
2015-11-09,21.5407
2015-11-10,21.5407
2015-11-11,21.5407
2015-11-12,21.5407
2015-11-13,21.5407
2015-11-14,21.5407
2015-11-15,21.5407
2015-11-16,21.5407
2015-11-17,21.5407
2015-11-18,21.5407
2015-11-19,21.5407
2015-11-20,21.5407
2015-11-21,21.5407
2015-11-22,21.5407
2015-11-23,21.5407
2015-11-24,21.5407
2015-11-25,21.5407
2015-11-26,21.5407
2015-11-27,21.5407
2015-11-28,21.5407
2015-11-29,21.5407
2015-11-30,21.5407
2015-12-01,21.5407
2015-12-02,21.5407
2015-12-03,21.5407
2015-12-04,21.5407
2015-12-05,21.5407
2015-12-06,21.5407
2015-12-07,21.5407
2015-12-08,21.5407
2015-12-09,21.5407
2015-12-10,21.5407
2015-12-11,21.5407
2015-12-12,21.5407
2015-12-13,21.5407
2015-12-14,21.5407
2015-12-15,21.5407
2015-12-16,21.5407
2015-12-17,21.5407
2015-12-18,21.5407
2015-12-19,21.5407
2015-12-20,21.5407
2015-12-21,21.5407
2015-12-22,21.5407
2015-12-23,21.5407
2015-12-24,21.5407
2015-12-25,21.5407
2015-12-26,21.5407
2015-12-27,21.5407
2015-12-28,21.5407
2015-12-29,21.5407
2015-12-30,21.5407
2015-12-31,281.4613
2016-01-01,281.4613
2016-01-02,281.4613
2016-01-03,281.4613
2016-01-04,281.4613
2016-01-05,281.4613
2016-01-06,281.4613
2016-01-07,281.4613
2016-01-08,281.4613
2016-01-09,281.4613
2016-01-10,281.4613
2016-01-11,281.4613
2016-01-12,281.4613
2016-01-13,281.4613
2016-01-14,281.4613
2016-01-15,281.4613
2016-01-16,281.4613
2016-01-17,281.4613
2016-01-18,281.4613
2016-01-19,281.4613
2016-01-20,281.4613
2016-01-21,281.4613
2016-01-22,281.4613
2016-01-23,281.4613
2016-01-24,281.4613
2016-01-25,281.4613
2016-01-26,281.4613
2016-01-27,281.4613
2016-01-28,281.4613
2016-01-29,281.4613
2016-01-30,281.4613
2016-01-31,281.4613
2016-02-01,281.4613
2016-02-02,281.4613
2016-02-03,281.4613
2016-02-04,281.4613
2016-02-05,281.4613
2016-02-06,281.4613
2016-02-07,281.4613
2016-02-08,281.4613
2016-02-09,281.4613
2016-02-10,281.4613
2016-02-11,281.4613
2016-02-12,281.4613
2016-02-13,281.4613
2016-02-14,281.4613
2016-02-15,281.4613
2016-02-16,281.4613
2016-02-17,281.4613
2016-02-18,281.4613
2016-02-19,281.4613
2016-02-20,281.4613
2016-02-21,281.4613
2016-02-22,281.4613
2016-02-23,281.4613
2016-02-24,281.4613
2016-02-25,281.4613
2016-02-26,281.4613
2016-02-27,281.4613
2016-02-28,281.4613
2016-02-29,281.4613
2016-03-01,281.4613
2016-03-02,281.4613
2016-03-03,281.4613
2016-03-04,281.4613
2016-03-05,281.4613
2016-03-06,281.4613
2016-03-07,281.4613
2016-03-08,281.4613
2016-03-09,281.4613
2016-03-10,281.4613
2016-03-11,281.4613
2016-03-12,281.4613
2016-03-13,281.4613
2016-03-14,281.4613
2016-03-15,281.4613
2016-03-16,281.4613
2016-03-17,281.4613
2016-03-18,281.4613
2016-03-19,281.4613
2016-03-20,281.4613
2016-03-21,281.4613
2016-03-22,281.4613
2016-03-23,281.4613
2016-03-24,281.4613
2016-03-25,281.4613
2016-03-26,281.4613
2016-03-27,281.4613
2016-03-28,281.4613
2016-03-29,281.4613
2016-03-30,281.4613
2016-03-31,217.1734
2016-04-01,217.1734
2016-04-02,217.1734
2016-04-03,217.1734
2016-04-04,217.1734
2016-04-05,217.1734
2016-04-06,217.1734
2016-04-07,217.1734
2016-04-08,217.1734
2016-04-09,217.1734
2016-04-10,217.1734
2016-04-11,217.1734
2016-04-12,217.1734
2016-04-13,217.1734
2016-04-14,217.1734
2016-04-15,217.1734
2016-04-16,217.1734
2016-04-17,217.1734
2016-04-18,217.1734
2016-04-19,217.1734
2016-04-20,217.1734
2016-04-21,217.1734
2016-04-22,217.1734
2016-04-23,217.1734
2016-04-24,217.1734
2016-04-25,217.1734
2016-04-26,217.1734
2016-04-27,217.1734
2016-04-28,217.1734
2016-04-29,217.1734
2016-04-30,217.1734
2016-05-01,217.1734
2016-05-02,217.1734
2016-05-03,217.1734
2016-05-04,217.1734
2016-05-05,217.1734
2016-05-06,217.1734
2016-05-07,217.1734
2016-05-08,217.1734
2016-05-09,217.1734
2016-05-10,217.1734
2016-05-11,217.1734
2016-05-12,217.1734
2016-05-13,217.1734
2016-05-14,217.1734
2016-05-15,217.1734
2016-05-16,217.1734
2016-05-17,217.1734
2016-05-18,217.1734
2016-05-19,217.1734
2016-05-20,217.1734
2016-05-21,217.1734
2016-05-22,217.1734
2016-05-23,217.1734
2016-05-24,217.1734
2016-05-25,217.1734
2016-05-26,217.1734
2016-05-27,217.1734
2016-05-28,217.1734
2016-05-29,217.1734
2016-05-30,217.1734
2016-05-31,217.1734
2016-06-01,217.1734
2016-06-02,217.1734
2016-06-03,217.1734
2016-06-04,217.1734
2016-06-05,217.1734
2016-06-06,217.1734
2016-06-07,217.1734
2016-06-08,217.1734
2016-06-09,217.1734
2016-06-10,217.1734
2016-06-11,217.1734
2016-06-12,217.1734
2016-06-13,217.1734
2016-06-14,217.1734
2016-06-15,217.1734
